Dataset,Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,ROC_AUC,Precision_defective,Recall_defective,F1_defective,PF,Specificity,G_measure,TN,FP,FN,TP
PC3,Bagging-RF,0.8107506255212676,0.8466086729574028,0.8107506255212676,0.8251736425745275,0.829201036828292,0.3296411170528818,0.4851648351648351,0.3896998681018705,0.14256872852233676,0.8574312714776632,0.6065332055710111,824,137,71,67
PC3,Bagging-SVM,0.7406171809841535,0.8605442699299981,0.7406171809841535,0.7789469613990339,0.758148649031381,0.2894539471574788,0.6802197802197802,0.40198478289086337,0.25086984536082474,0.7491301546391752,0.7055791059713747,720,241,44,94
PC3,DS,0.7979649708090075,0.832169193523311,0.7979649708090075,0.8122286753744989,0.6374046191137042,0.285969219642325,0.4115384615384615,0.3348860602792604,0.14673539518900341,0.8532646048109965,0.5371725598982826,820,141,81,57
PC3,LR,0.739699749791493,0.8682994056893895,0.739699749791493,0.7796131121902194,0.8114809320833805,0.2971172014659502,0.7313186813186814,0.4198138328147544,0.25918170103092786,0.7408182989690721,0.7322183266205738,712,249,37,101
PC3,RF,0.847114261884904,0.8574690815949992,0.847114261884904,0.8513117899953476,0.8453890879309693,0.41951391487769196,0.4576923076923077,0.4331197017459531,0.09679982817869416,0.9032001718213059,0.6011022923273629,868,93,75,63
PC3,SVM,0.745187656380317,0.8663471974998668,0.745187656380317,0.7830523121186228,0.811740080151807,0.30027712064749373,0.7093406593406593,0.4173997925235232,0.24982817869415808,0.7501718213058419,0.7232929513716007,721,240,40,98
PC4,AdaBoost-DS,0.8680154448323284,0.8749221706840313,0.8680154448323284,0.8706054793744157,0.8588791097246979,0.49104409121436987,0.5447712418300654,0.5129289716131822,0.08409090909090909,0.9159090909090908,0.6750790790187764,1100,101,81,97
PC4,AdaBoost-LR,0.7686501639691103,0.8835517860193726,0.7686501639691103,0.8026169695447412,0.866131119573633,0.34464785073029297,0.8032679738562092,0.4781419498484216,0.23647382920110194,0.7635261707988981,0.7790847627850063,917,284,35,143
PC4,AdaBoost-RF,0.8941129800063472,0.9020836952333905,0.8941129800063472,0.8971604072642672,0.8911427442877977,0.5844147688060731,0.6627450980392158,0.6178867400200654,0.0716046831955923,0.9283953168044077,0.769382364426953,1115,86,60,118
PC4,AdaBoost-SVM,0.7846186395853169,0.8939616663138376,0.7846186395853169,0.8162835383024932,0.8903549420227227,0.3620890685716267,0.8542483660130719,0.5077128987396459,0.2256404958677686,0.7743595041322313,0.810746453733565,930,271,26,152
PC4,Bagging-DS,0.8832275468105364,0.8974776216227853,0.8832275468105364,0.88809633791275,0.8913051301787933,0.5567667716095267,0.657843137254902,0.5943208991028683,0.08323691460055097,0.9167630853994491,0.7609438101902917,1101,100,61,117
PC4,Bagging-LR,0.8302761028245002,0.8961737881213125,0.8302761028245002,0.8506447269590971,0.9099345955094618,0.4202198346266214,0.8032679738562092,0.5498756147720768,0.16570936639118455,0.8342906336088154,0.8131050011000396,1002,199,35,143
PC4,Bagging-RF,0.8933724743467681,0.9075802774138658,0.8933724743467681,0.8982774114199857,0.9262268856119122,0.5730857383357384,0.7196078431372549,0.633396389452261,0.08075757575757576,0.9192424242424242,0.7993394922654291,1104,97,50,128
PC4,Bagging-SVM,0.8302866814767798,0.8950103264598013,0.8302866814767798,0.8504616970433574,0.8554247915878932,0.4172719493075444,0.7970588235294118,0.546497732331208,0.16488980716253443,0.8351101928374656,0.8105268352730036,1003,198,36,142
